src,from,problem,index,complexity
"
// Java program to find union of two 
// sorted arrays (Handling Duplicates) 
class
FindUnion 
{ 


static
void
UnionArray(
int
arr1[], 

int
arr2[]) 

{ 

// Taking max element present in either array 

int
m = arr1[arr1.length - 
1
]; 

int
n = arr2[arr2.length - 
1
]; 


int
ans = 
0
; 


if
(m > n) 

{ 

ans = m; 

} 

else

ans = n; 


// Finding elements from 1st array 

// (non duplicates only). Using 

// another array for storing union 

// elements of both arrays 

// Assuming max element present 

// in array is not more than 10^7 

int
newtable[] = 
new
int
[ans + 
1
]; 


// First element is always 

// present in final answer 

System.out.print(arr1[
0
] + 
"" ""
); 


// Incrementing the First element's count 

// in it's corresponding index in newtable 

++newtable[arr1[
0
]]; 


// Starting traversing the first 

// array from 1st index till last 

for
(
int
i = 
1
; i < arr1.length; i++) 

{ 

// Checking whether current element 

// is not equal to it's previous element 

if
(arr1[i] != arr1[i - 
1
]) 

{ 

System.out.print(arr1[i] + 
"" ""
); 

++newtable[arr1[i]]; 

} 

} 


// Finding only non common 

// elements from 2nd array 

for
(
int
j = 
0
; j < arr2.length; j++) 

{ 

// By checking whether it's already 

// present in newtable or not 

if
(newtable[arr2[j]] == 
0
) 

{ 

System.out.print(arr2[j] + 
"" ""
); 

++newtable[arr2[j]]; 

} 

} 

} 


// Driver Code 

public
static
void
main(String args[]) 

{ 

int
arr1[] = {
1
, 
2
, 
2
, 
2
, 
3
}; 

int
arr2[] = {
2
, 
3
, 
4
, 
5
}; 


UnionArray(arr1, arr2); 

} 
} ",CorCod,368,368,linear
"import java.io.*;
import java.util.Scanner;
public class DivideCandies {
	public static void main(String[] args){
		Scanner input = new Scanner(System.in);
		long n = input.nextLong();
		int m = input.nextInt();
		long[] a = new long[m];
		for(int i = 0; i < m; i++)
		{
			if(i <= (n%m) && i != 0)
			{
				a[i] = n/m + 1;
			}
			else
			{
				a[i] = n/m;
			}
		}
		long result = 0L;
		for(int i = 0; i < m; i++)
		{
			for(int j = 0; j < m; j++)
			{
				if((i * i + j * j) % m == 0)
				{
					result += a[i] * a[j];
				}
			}
		}
		System.out.println(result);
	}
}



",CorCod,526,526,quadratic
"
// Java program to find the maximum stolen value 
import
java.io.*; 

class
GFG 
{ 

// Function to calculate the maximum stolen value 

static
int
maxLoot(
int
hval[], 
int
n) 

{ 

if
(n == 
0
) 

return
0
; 


int
value1 = hval[
0
]; 

if
(n == 
1
) 

return
value1; 


int
value2 = Math.max(hval[
0
], hval[
1
]); 

if
(n == 
2
) 

return
value2; 


// contains maximum stolen value at the end 

int
max_val = 
0
; 


// Fill remaining positions 

for
(
int
i=
2
; i<n; i++) 

{ 

max_val = Math.max(hval[i]+value1, value2); 

value1 = value2; 

value2 = max_val; 

} 


return
max_val; 

} 


// driver program 

public
static
void
main (String[] args) 

{ 

int
hval[] = {
6
, 
7
, 
1
, 
3
, 
8
, 
2
, 
4
}; 

int
n = hval.length; 

System.out.println(
""Maximum loot value : ""
+ maxLoot(hval, n)); 

} 
} 

// Contributed by Pramod kumar ",CorCod,173,173,linear
"import java.util.*;
import java.lang.Math;
public class tab
{
public static void main(String[] args)
{
int n,pos,l,r;
Scanner sc=new Scanner(System.in);
n=sc.nextInt();
pos=sc.nextInt();
l=sc.nextInt();
r=sc.nextInt();
int sum;
int a=(n-r)+(l-1);
if((Math.abs(pos-l)<Math.abs(r-pos))&&a!=0)
{
 if(l!=1)
   {sum=Math.abs(pos-l);
    sum++;
    if(r!=n)
      sum+=(r-l)+1;
   }
 else
   sum=Math.abs(r-pos)+1;
}
else if(a==0)
  sum=0; 
else
{
  if(r!=n)
  {  sum=Math.abs(r-pos);
     sum++;
     if(l!=1) 
     sum+=(r-l)+1;
  }
  else
   sum=Math.abs(pos-l)+1;
}
System.out.println(sum);
}}",CorCod,758,758,constant
"
// Java program to find nth ugly number 
import
java.lang.Math; 

class
UglyNumber 
{ 

/* Function to get the nth ugly number*/

int
getNthUglyNo(
int
n) 

{ 

int
ugly[] = 
new
int
[n]; 
// To store ugly numbers 

int
i2 = 
0
, i3 = 
0
, i5 = 
0
; 

int
next_multiple_of_2 = 
2
; 

int
next_multiple_of_3 = 
3
; 

int
next_multiple_of_5 = 
5
; 

int
next_ugly_no = 
1
; 


ugly[
0
] = 
1
; 


for
(
int
i = 
1
; i < n; i++) 

{ 

next_ugly_no = Math.min(next_multiple_of_2, 

Math.min(next_multiple_of_3, 

next_multiple_of_5)); 


ugly[i] = next_ugly_no; 

if
(next_ugly_no == next_multiple_of_2) 

{ 

i2 = i2+
1
; 

next_multiple_of_2 = ugly[i2]*
2
; 

} 

if
(next_ugly_no == next_multiple_of_3) 

{ 

i3 = i3+
1
; 

next_multiple_of_3 = ugly[i3]*
3
; 

} 

if
(next_ugly_no == next_multiple_of_5) 

{ 

i5 = i5+
1
; 

next_multiple_of_5 = ugly[i5]*
5
; 

} 

} 
/*End of for loop (i=1; i<n; i++) */

return
next_ugly_no; 

} 


/* Driver program to test above functions */

public
static
void
main(String args[]) 

{ 

int
n = 
150
; 

UglyNumber obj = 
new
UglyNumber(); 

System.out.println(obj.getNthUglyNo(n)); 

} 
} 

// This code has been contributed by Amit Khandelwal (Amit Khandelwal 1) ",CorCod,69,69,linear
"import java.io.BufferedReader;
import java.io.IOException;
import java.io.InputStream;
import java.io.InputStreamReader;
import java.io.PrintWriter;
import java.util.ArrayList;
import java.util.Arrays;
import java.util.Collections;
import java.util.Scanner;
import java.util.StringTokenizer;

public class c {
	public static void main(String[] args) throws IOException {
		FastScanner in = new FastScanner(System.in);
		int n = in.nextInt(), m = in.nextInt();
		long bounty = in.nextInt(), increase = in.nextInt();
		int damage = in.nextInt();
		int[] mh = new int[n];
		int[] sh = new int[n];
		int[] reg = new int[n];
		long countKilled = 0;
		ArrayList<Event> es = new ArrayList<>();
		Event[] regen = new Event[n];
		for(int i=0;i<n;i++) {
			mh[i] = in.nextInt();
			sh[i] = in.nextInt();
			reg[i] = in.nextInt();
			if(sh[i] <= damage)
				countKilled++;
			if(reg[i] > 0) {
				int time = (damage+1 - sh[i]+reg[i]-1)/reg[i];
				if(time > 0 && mh[i] >= damage+1) {
					Event e2 = new Event(time, i, damage+1);
					regen[i] = e2;
					es.add(e2);
				}
			}
		}
		for(int i=0;i<m;i++) {
			Event e = new Event(in.nextInt(), in.nextInt()-1, in.nextInt());
			es.add(e);
			if(reg[e.e] > 0) {
				int time = (damage+1 - e.h+reg[e.e]-1)/reg[e.e];
				if(time > 0 && mh[e.e] >= damage+1) {
					Event e2 = new Event(e.t + time, e.e, damage+1);
					e.regen = e2;
					es.add(e2);
				}
			}
		}
		Collections.sort(es, (a,b) -> a.t-b.t);
		long ans = countKilled*bounty;
		int lastTime = 0;
		for(Event e : es) {
			if(e.t == -1) continue;
			if(regen[e.e] != e && regen[e.e] != null) {
				regen[e.e].t = -1;
				regen[e.e] = null;
			}
			if(lastTime != e.t) {
				ans = Math.max(ans, countKilled*(bounty+(e.t-1)*increase));
			}
			if(sh[e.e] <= damage)
				countKilled--;
			sh[e.e] = e.h;
			if(sh[e.e] <= damage)
				countKilled++;
			if(e.regen != null) {
				regen[e.e] = e.regen;
			}
			lastTime = e.t;
		}
		if(countKilled != 0) {
			if(increase > 0)
				ans = -1;
			else
				ans = Math.max(ans, countKilled*bounty);
		}
		System.out.println(ans);
	}
	static class Event {
		int t;
		int e;
		int h;
		Event regen;
		public Event(int tt, int ee, int hh) {
			t = tt;
			e = ee;
			h = hh;
		}
	}
	static class FastScanner {
	    BufferedReader br;
	    StringTokenizer st;
	    public FastScanner(InputStream i) {
	        br = new BufferedReader(new InputStreamReader(i));
	        st = new StringTokenizer("""");
	    }
	    public String next() throws IOException {
	        if(st.hasMoreTokens())
	            return st.nextToken();
	        else
	            st = new StringTokenizer(br.readLine());
	        return next();
	    }
	    public int nextInt() throws IOException {
	        return Integer.parseInt(next());
	    }
	    public long nextLong() throws IOException {
	        return Long.parseLong(next());
	    }
	    public double nextDouble() throws IOException {
	        return Double.parseDouble(next());
	    }
	}
}
",CorCod,619,619,nlogn
"/* package codechef; // don't place package name! */

import java.util.*;
import java.lang.*;
import java.io.*;

/* Name of the class has to be ""Main"" only if the class is public. */
public class Codechef
{
	public static void main (String[] args) throws java.lang.Exception
	{
		// your code goes here
		Scanner in=new Scanner(System.in);
		long x=in.nextLong();
		long k=in.nextLong();
		
		long mod=1000000007;
		long get=power(2,k,mod);
		long ans=((get%mod)*((2*x)%mod))%mod-get+1;
		if(ans<0)
		ans+=mod;
		if(x==0)
		ans=0;
		System.out.println(ans);
		
	}
	static long power(long x, long y, long p)
    {
        // Initialize result
        long res = 1;     
        
        // Update x if it is more  
        // than or equal to p
        x = x % p; 
     
        while (y > 0)
        {
            // If y is odd, multiply x
            // with result
            if((y & 1)==1)
                res = (res * x) % p;
     
            // y must be even now
            // y = y / 2
            y = y >> 1; 
            x = (x * x) % p; 
        }
        return res;
    }
}
",CorCod,911,911,logn
"
// A Dynamic Programming solution for Rod cutting problem 
class
RodCutting 
{ 

/* Returns the best obtainable price for a rod of 

length n and price[] as prices of different pieces */

static
int
cutRod(
int
price[],
int
n) 

{ 

int
val[] = 
new
int
[n+
1
]; 

val[
0
] = 
0
; 


// Build the table val[] in bottom up manner and return 

// the last entry from the table 

for
(
int
i = 
1
; i<=n; i++) 

{ 

int
max_val = Integer.MIN_VALUE; 

for
(
int
j = 
0
; j < i; j++) 

max_val = Math.max(max_val, 

price[j] + val[i-j-
1
]); 

val[i] = max_val; 

} 


return
val[n]; 

} 


/* Driver program to test above functions */

public
static
void
main(String args[]) 

{ 

int
arr[] = 
new
int
[] {
1
, 
5
, 
8
, 
9
, 
10
, 
17
, 
17
, 
20
}; 

int
size = arr.length; 

System.out.println(
""Maximum Obtainable Value is ""
+ 

cutRod(arr, size)); 

} 
} 
/* This code is contributed by Rajat Mishra */",CorCod,442,442,quadratic
"import java.util.Scanner;

public class Main {
//kai
	public static void main(String[] args) {
		Scanner kai = new Scanner(System.in);
		while (kai.hasNext()) {
			int a = kai.nextInt();
			if ((a & 1) == 0) {
				System.out.println(""Mahmoud"");
			}else {
				System.out.println(""Ehab"");
			}
		}
	}
}
 	 	  				 	 	      		 		 		",CorCod,746,746,constant
"import java.util.*;
import java.io.*;
import java.lang.reflect.Array;

		public class codeforces
		{	
			public static void main(String[] args)
			{
				InputReader in = new InputReader(System.in);
				PrintWriter pw = new PrintWriter(System.out);

				int n = in.nextInt();
				long U = in.nextLong();
				long[] E = new long[n];
				double max = -1;
				
				for(int i=0;i<n;i++)
					E[i] = in.nextLong();
				
				for(int k=1;k<n-1;k++)
				{
					int i = k + 1, j = n - 1, mid = 0;
					double T = 0;
					
					while(i < j)
					{
						mid = (int)Math.ceil((double)(i+j)/2);
						
						if(E[mid] - E[k-1] <= U)
							i = mid;
						else
							j = mid - 1;
					}
					
					j = k;
					k = i;
					i = j - 1;
					
					T = E[k] - E[j];
					T /= E[k] - E[i];
					
					if(E[k] - E[i] <= U)
						max = Math.max(max, T);
					
					k = j;
				}	
				
				pw.println(max);
				
				pw.flush();
				pw.close();
			}
			
		/*	public static void DFS(int sourse)
			{
				int count = 0;
				visited[sourse] = true;
				
				for(int u : adj[sourse])
				{
					if(!visited[u])
					{
						DFS(u);
					}
				}
				
				
			}*/
			
			public static ArrayList Divisors(long n)
			{
			    ArrayList<Long> div = new ArrayList<>();
			    
			    for (long i=1; i<=Math.sqrt(n); i++)
			    {
			        if (n%i == 0)
			        {
			        	div.add(i);
			                
			            if(n/i != i)
			            	div.add(n/i);
			        }
			    }
			    return div;
			}
		
			public static int BinarySearch(long[] a, long k)
			{
				int n = a.length;
				int i = 0, j = n-1;
				int mid = 0;
				
				if(k < a[0])
					return 0;
				else if(k >= a[n-1])
					return n;
				else
				{
					while(j - i > 1)
					{
						mid = (i+j)/2;
						
						if(k >= a[mid])
							i = mid;
						else
							j = mid;
					}
				}
				
				return i+1;
			}
			public static long GCD(long a,long b)
			{
				if(b==0)
					return a;
				else
					return GCD(b,a%b);
			}
			
			static class pair implements Comparable<pair>
			{
				Integer x, y;
				pair(int x,int y)
				{
					this.x=x;
					this.y=y;
				}
				
				public int compareTo(pair o) {
					int result = x.compareTo(o.x);
					if(result==0)
						result = y.compareTo(o.y);
					
					return result;
				}  
				
				public String toString()
				{
					return x+"" ""+y;
				}
				
				public boolean equals(Object o)
				{
					if (o instanceof pair)
				    {
						pair p = (pair)o;
						return p.x - x == 0 && p.y - y == 0 ;
					}
					return false;
				}
				
				public int hashCode()
				{
					return new Long(x).hashCode()*31 + new Long(y).hashCode();
				}
			}
			
			static class InputReader 
			{
				 
				private final InputStream stream;
				private final byte[] buf = new byte[8192];
				private int curChar, snumChars;
				private SpaceCharFilter filter;
		 
				public InputReader(InputStream stream) 
				{
					this.stream = stream;
				}
		 
				public int snext() 
				{
					if (snumChars == -1)
						throw new InputMismatchException();
					if (curChar >= snumChars) 
					{
						curChar = 0;
						try 
						{
							snumChars = stream.read(buf);
						} 
						catch (IOException e) 
						{
							throw new InputMismatchException();
						}
						if (snumChars <= 0)
							return -1;
					}
					return buf[curChar++];
				}
		 
				public int nextInt() 
			    {
					int c = snext();
					while (isSpaceChar(c)) 
					{
						c = snext();
					}
					int sgn = 1;
					if (c == '-')
				    {
						sgn = -1;
						c = snext();
					}
					int res = 0;
					do 
					{
						if (c < '0' || c > '9')
							throw new InputMismatchException();
						res *= 10;
						res += c - '0';
						c = snext();
					} while (!isSpaceChar(c));
					return res * sgn;
				}
		 
				public long nextLong()
			    {
					int c = snext();
					while (isSpaceChar(c)) 
					{
						c = snext();
					}
					int sgn = 1;
					if (c == '-') 
					{
						sgn = -1;
						c = snext();
					}
					long res = 0;
					do 
					{
						if (c < '0' || c > '9')
							throw new InputMismatchException();
						res *= 10;
						res += c - '0';
						c = snext();
					} while (!isSpaceChar(c));
					return res * sgn;
				}
		 
				public int[] nextIntArray(int n) 
				{
					int a[] = new int[n];
					for (int i = 0; i < n; i++) 
					{
						a[i] = nextInt();
					}
					return a;
				}
		 
				public String readString()
			    {
					int c = snext();
					while (isSpaceChar(c)) 
					{
						c = snext();
					}
					StringBuilder res = new StringBuilder();
					do 
					{
						res.appendCodePoint(c);
						c = snext();
					} while (!isSpaceChar(c));
					return res.toString();
				}
		 
				public String nextLine() 
				{
					int c = snext();
					while (isSpaceChar(c))
						c = snext();
					StringBuilder res = new StringBuilder();
					do 
					{
						res.appendCodePoint(c);
						c = snext();
					} while (!isEndOfLine(c));
					return res.toString();
				}
		 
				public boolean isSpaceChar(int c) 
				{
					if (filter != null)
						return filter.isSpaceChar(c);
					return c == ' ' || c == '\n' || c == '\r' || c == '\t' || c == -1;
				}
		 
				private boolean isEndOfLine(int c) 
				{
					return c == '\n' || c == '\r' || c == -1;
				}
		 
				public interface SpaceCharFilter
			    {
					public boolean isSpaceChar(int ch);
				}
			}
			
			static class CodeX {
	        public static void sort(long arr[]) {
	            merge_sort(arr, 0, arr.length - 1);
	        }
	
	        private static void merge_sort(long A[], long start, long end) {
	            if (start < end) {
	                long mid = (start + end) / 2;
	                merge_sort(A, start, mid);
	                merge_sort(A, mid + 1, end);
	                merge(A, start, mid, end);
	            }
	
	        }
	
	        private static void merge(long A[], long start,long mid, long end) {
	            long p = start, q = mid + 1;
	            long Arr[] = new long[(int)(end - start + 1)];
	            long k = 0;
	
	            for (int i = (int)start; i <= end; i++) {
	                if (p > mid)
	                    Arr[(int)k++] = A[(int)q++];
	
	                else if (q > end)
	                    Arr[(int)k++] = A[(int)p++];
	
	                else if (A[(int)p] < A[(int)q])
	                    Arr[(int)k++] = A[(int)p++];
	
	                else
	                    Arr[(int)k++] = A[(int)q++];
	            }
	            for (int i = 0; i < k; i++) {
	                A[(int)start++] = Arr[i];
	            }
	
	        }
	
	    }
		}	
		

			",CorCod,666,666,nlogn
